TITLE	MAIN_CONTENT
error regard nxt_usb_isp	sir while test the buzzer program show the error nxt_usb_isp be not find and also tell how can use avrdude please help
no output in scilab gui when testing hardware	eyrc bb dear sir mam hardware testing result constant as output in scilab xbee be work perfectly fine on run zigbee_test have set right com port and baud rate in xcos module from scilab also workilng fine while execute acclero_test.hex and gyro_test.hex.it be show the respective output rssi lead on board be blink but not on xbee connect to laptop be get this error please help thank
package name for task	what be the name for the package sample_package or choice
gy-	sir this be follow up of the previous post regard the malfunction of gy- should wait for the replacement of the module or shall order online please reply as soon as possible thank
urdl robot	sir see the firebird_urdf code which give be so stable ray but when edit that code just change the dimension and coordinate for make the design sheet robot flunctuation in the ray occur which cause robot oscillating and navigation robot tell mewhich parameter consider apart from dimension and coordinate in make design so that ray and robot be stable like firebird
straight motion of robot	sir can alter the designing sheet because there be some error like height of castor link sheet be not proper as robot get tilt and if place tyre outside the base link then robot be not able to move properly start slip not move straight and specially backward when move by simple_tele_top file so can place tyre like this to avoid this
different output	sir be get different output each time be run package for task the sequence be random although execute with same configuration each time and be not able to traceback and know the problem will fetch negative mark can know the cause of
problem in burn the hex file	while burn the hex file use stk programmer and microcontroller do need to supply the power to the microcontroller use li po battery and if so then how to do this by connect the dc jack to the controller and battery
tele top not run	unable to run tele top on system ve setup the workspace as instruct in the pdf the command of pdf run successfully on system step of pdf also work correctly but when execute the command as per th step get the follow error- error can not launch node of type task /robot_teleop.py ca n't locate node robot_teleop.py in package task havematche the directory fileswith one of myfriend 's whose teletop be work and everything seemsto be in order please help
gy- motor driver buzzer not work	first of all test the buzzer burn the code provide but the buzzer be not beep or give any output https //www.youtube.com watch hvrofm paq&feature youtu.be test the gy- module use all method mention in the post the output in the serial terminal be not as expect while testing gyroscope no output be come accelerometer be not give expect output be not in the range of to https //www.youtube.com watch rj ovrvpceo&feature youtu.be as instruct also test all other hardware without the gy- burn the hex file provide in the post@ as will see in the video the motor be not rotate so the motor be also faulty but the encoder be work the output of the simulator be proper https //www.youtube.com watch xoof kmfhk&feature youtu.be so check the motor separately by give direct current supply through the perf board 's connection and start run check the circuit and be as say in post@ when give the motor driver power supply green light turn on but the motor do n't start spin have suspicion that the motor driver be faulty could that be the case team be bb- please reply asap
problem in task	sir be face the follow problem in task video prob .ogv have make the robot model but in rviz the wheel of the robot keep vanish and come back again when the robot reach near vertex goal suddenly slow down in gazebo see the firebird model instead of the square model that create have change the urdf model in the launch file when give the robot navigation goal very close to an obstacle robot do not follow the path instead deviate from the path.it take the short path to goal ignore the obstacle why do not follow the plan path and why do collide even though have laser sensor have try vary various parameter but nothing change please help thank
confusion in model	sir accord to the dimension of the robot give have make the robot but due to the height difference of main wheel and castor wheel that cylinder robot seem tilt due to that the range of sharp sensor be also tilt be suppose to be in that way or there 's mistake
error execute the node .py	sir have make all .py file executable after write the command rosrun sample_package node .py be get the follow error the same error come while execute the node .py and node .py
problem regard nex avr usb isp	be unable to run buzzer programming on atmega board
regard encoder test	be say in the pdf that have to rotate the motor shaft manually to test the encoder valuebut seem impossible to rotate manually
 problem	eyrc bb perform task hardware testing and go all good but only one of the motor be work check connection and be correct exchange motor and pref board one by one and always the motor connect to motor pin of module be nt work hence when check voltage drop across motor and be almost zero here be the link to video https //www.youtube.com watch ns hebkkxa please tell what to do next thank
error while testing motor	eyrc bb whenever any one of the motor be give minus value as speed both the motor change direction mean no matter what the value both the motor rotate in the same direction have try connection as be give in the table as well as in the figure be suppose to be like this if not can provide some clear instruction about all the connection pdf with the change in the original one if possible because even the sample video give have different vcc and ground connection than pdf
robot flunctuating	sir in navigation the follow error be come and robot only oscillate not navigate to goal rqt_graph be this
balance bot hardware testing without gy-	dear participant as some of the team be have problem with gy- sensor module be unable to test hardware component for balance bot this be due to dependency of sensor datum of gy- so for testing without gy- please usebalance_bot_hardware_testing_without_gy .hex after burn above code can test other hardware as give in hardware testing instruction yantra team
robot model	sir make robot exactly as in design sheet in urdf file but when transfer in gazebo then one wheel get tilt so the ray distribution be outside the arena wall be ok
error in instruction	sir be get the follow error while execute the command roslaunch task move_base.launch have check move_base be present in the system
break package problem	sir as in reference have try everything to install the package sudo apt get install ros indigo map server but after execute the last comand give by have give situation but the problem still persist so please help eyrc eb
regard hardware testing	in the documentation of the hardware test be show that two servo motor be to be connect also in the sample submission video two servo motor be connect so accord to the give setup in theassembling_hardware_for_testing.pdf need in total resistor and weare give only resistor in total so what do do now
unable to build buzzer programming	be face four error when try to build the give project
mark distribution task track balance bot	sir what be the mark distribution for task in track balance bot meaning how many mark for question and answer hardware testing and software individually please reply as soon as possible
error with urdf code	ve be get this constant error while simulate the code please help
adxl slave write error	what could be the possible reason for this error the status value be please help
map not save	when try to save the map use map_server get the follow error please help thank
testing_hardware problem	eyrc bb dear sir mam during hardware testing be get constant as output in scilab xbee be work perfectly fine on run zigbee_test have set right com port and baud rate in xcos module from scilab have also connect gy- sensor module as well as jumper position be also at the right place as show in assembly_hardware on run the program rssi lead on board be blink but not on xbee connect to laptop please help what should do now be in deep trouble as be be stick right here from day alsocould faulty gy- can create some issue thank
error in launch move_base.launch	sir when try to run the command roslaunch task move_base.launch be face the follow error and the output remain unchanged in rviz
measurement of angle	in task the angle must measure be pitch angle or the tilt angle be the same initially task say pitch angle but later on the term tilt angle be use
testing_hardware solve	eyrc bb have finally solve problem correction have be make earlier the connection of jumper be as mention in assembling_hardware.pdftake look as may see the position of jumper be in horizontal direction.the jumper have dot up on so should account the jumper be in horizontal direction.with this configuration be clearly able to communicate between the xbee module but not while run balance_bot_hardware.hex but what change the orientation vertically like this can clearly see the orientation of jumper in vertical direction .with this configuration the communication be work perfectly fine as per the instruction in testing_hardware.pdf be ask to change the parameter in xcos module in scilab which include set right com port and baud rate however change one more paramet these be the parameter default in balance_bot_task .zcos now these be the parameter what change change baud rate com port and input signal frame format earlier in be different format moreover input and output format be diff.we change to match each other after these two change be correct now try both of these correction simultaneously and work out fine but when try to do only one correction at time fail hope this would be helpful for some of .let know below in followup session question would be be the orientation of jumper at board in horizontal and vertical direction do really have any effect if yes then what
video for task	the length of the video that ve shoot for task be min sec long be this ok or can increase the speed to and upload
name of the file	by what name should save launch file urdf file map file world file script etc since will be execute the file to check code so be there any naming convention to follow.and while submit the file do need to keep all those launch file src file script etc that provide or only the one newly create
xbee comm problem	when do final hardware test the rssi lead on board be glow but rssi lead be not glow on xbee module connect to laptop as do occur during run testing_zigbee.hex think this mean that xbee connect to laptop be able to transmit datum and xbee over be receve but xbee be not able to transmit datum to receiver xbee on laptop check baud rate set to in scilab and com set to com from com jumper position be in xbee compatible mode as show assembling_hardware.pdf have configure xbee module correctly as testing_zigbee.hex be run fine have also connnecte gy- sensor as direct in other post please help asap be there anything else which need to be do can faulty connection over encoder create some problem
adxl library	why be certain point in the adxl datasheet highlight under the internal register section also how do select the right initialize value of the register do need to initialize only the highlight register or all of
location of object	sir this be the image give to in task eb\task- \task- \final task\designing requirement along with the picture of dimension but the final_task_world image- image differ from the final_gazebo_world_dimension image which be show below location of cylinder and sphere be different which one should follow to create the simulation of the world
visualize the robot model	be get this error even after create view_demo.launch file
package not instal	sudo apt get install ros indigo map server even the solution provide by in the be not work be get the follow error img src https //d bmlvqabco.cloudfront.net/attach/iv owc /ige beej cw ivql gjbd pa/ .png please help
mass and velocity	sir while develop the model of robot do need to assume the mass of different element and the velocity of wheel since no detail be provide in the dimension and instruction manual
square wave generation task	can use interrupt for square wave generation in task
gazebo model modification disable	be not able to edit the dimension of model in gazebo give this warning so manually resize the box to make the boundary and save file when launch again the wall dimension change to unit cube the change be not be save do have to modify the script in .world to make change
not get local_map and global_map option in rviz display window	get only map option in rviz but able to run gmappe with be this okay if not okay how do get local_map option
urdf model mass and moment of inertia value	the inertial value moment of inertia and mass of the firebird do not work for the robot be ask to design the robot do n't move front and back properly in gazebo seem to be skid when change the value of moment of inertia and mass of some link randomly sometimes the robot move forward properly but do n't move backward properly and vice versa be n't able to achieve perfect movement what can do
avrdude gui	follow be the link from nex robotic website http //www.nex robotics.com product topmenu- .html page shop.product_details&flypage flypage.tpl&product_id category_id option com_virtuemart&itemid here nex robotic show the gui support for stk can use for burn hex file avrdude via cmd be quiet lengthy and difficult thank
thickness of base plate	eb- sir thickness of base plate be not provide to in robot_model_parameter.pdf ground clearance be mm and height of sensor be mm then should assume thickness as nearly as mm
communication between xbee module	have set destination and source address of both the xbee module coresspondingly and also burn the program use stk when use xctu in terminal mode with xbee module in development board get the require output but do n't provide the power to other xbee module with usb xbee adapter
break package	team eyrc eb sir have problem in instal package map server those include in piazza sudo apt get install ros indigo map server give the problem show in below image please help
task problem statement	sir do have to edit the move.py file to mention the waypoint be there anything else to be do as the second point be not clear do have to publish the coordinate continuously as the robot move or do just need to publish the goal vertice coordinate if yes then do just write that in move.py or make different publisher node if need to make different node then when do run that node after move.py
not able to send navigation goal	when click on the nav goal and point the green arrow to any path and click enter the robot do n't move have try this many time and the robot do n't move from position all the variable on the left panel of the rviz window be set without any error or warning also when load the map use the code roslaunch task move_base.launch the follow error show up even though the map be load successfully in the rviz window be due to this error that be not able to navigate because apart from that there be nothing wrong in the rviz window
avrdude alternative	can use alternative to avrdude like sinaprog thank
task zip folder not accord to theme	sir the zip folder for task that have be give to all team member of yrc bb be for bothoven theme whereas theme be balance bot kindly provide the task for balance bot at early
gy- issue	when try test the hardware with xcos the reading of the rotation angle along axis value keep change even though the sensor module be stationary the value keep run from to and then to with small increment how do resolve this issue thank
package not find	eb- sir when run this command rosrun gmappe slam_gmapping scan scan say gmappe package not find sir instal every package during installation and those give on piazza can not understand what be miss plz help
error after launch simple_robot_gazebo.launch	eb- sir be get this error after execute this command roslaunch task simple_robot_gazebo.launch error atspiadaptor relationset currently have problem with child id this error be come continuously be this normal
error in the instruction	sir in the book learn robotic use python by lentin joseph the code use to save the map be rosrun map_server map_saver -f ~/test_map and that mention in the instruction be rosrun map_server map_server -f /path sample_map map_server be write twice.which one be correct
problem in correct error	
no path be show for save gazebo world	for save the gazebo world use the command shift ctrl blank white screen pop up and not show any path to save the file what should do
error in compile the python file	sir be not able to clear the follow error please advise regard this
regard task assignment explore bot team	eyrc eb sir seem that have get wrong task as the discussion be go about ros rviz and all in task but what file have download from link on portal in that task be to determine the shape and color of object from give image and all .there be nothing about ros rviz software so please tell whether have get right task or anything wrong in
regard schematic	be require to show all the connection in the schematic like the xtal to the atmega other ic and capacitor on give development board or only the external connection like the gy- and etc thank in advance
error while instal driver for hid mode	laptop have window operate system be get an error while instal driver for hid mode of nex_usb_isp as show below
map_server error	when try to save the map use the code provide rosrun map_server map_server -f ~/catkin_ws src task /maps sample_map show the error
regard robot urdf model dimension	in the robot model pdf the dimension when implement be show too large model in rviz so do need to implement the exact dimension or only take the ratio of the dimension for example the square plate be can consider and take other dimension in the same ratio dividing by say in the pdf that can edit the firebird.urdf model so should delete the inertial attribute and the sensor in that model or keep as be ask this because only the dimension be provide for the robot model lastly the thickness of the square plate be not mention in the diagram what should consider please answer all the question
balance bot team shipment and task	dear sir madam this be to inform that ve successfully submit task however initially be provide with the task of the navigational terrain theme which unknowingly complete and submit before the deadline which include installation of python interpreter numpy and opencv day after the deadline recognize that task be update and include installation of scilab atmel studio etc be not update of this info and immediately complete the task for the balance bot theme and submit please look into this matter also please provide with the shipment detail for the balance bot so that can track thank
doubt regard task	eyrc eb sir in task whether have to do something on ros and rviz software which have instal in task or only complete the task give in the task_description.pdf file
error while check_urdf	give this error when try check_urdf also give the same error for firebird.urdf please help thank
appropriate result not be diplaye	there be two major cause of the issue the value in node .py be alter before the result for previous value be be print by the method print_result.the node be start in random order and so sometimes there be wrong value in variable inter_result num which be publish in result and so result be wrong as in the screen shoot be clear that the value of inter_result num and op be use to computer the result but the print value of num num num and op change during printing
xcos not receive datum	when try to send and receive datum use xctu work as per the instruction give in the task when the next hardware testing file be burn in the microcontroller and xcos be use to receive datum the receive datum be always
error in launch python file	team eyrc- sir be face the follow error when try to launch the python file contain the node
setup.bash	setup.bash file in the directory opt ros indigo get change while run in catkin workspace.now be get command not find error on start terminal also be not able to make change to the file this be how setup.bash file look like .png
tip for task-	dear participant task- be bit lengthy task so avoid last day completion please go through the readme and tutorial understand the task and divide amongst team otherwise will be difficult for to complete this task 's very clear that can divide task- into four part task -publisher and subscriber understanding tak -urdf model design for submission -creating gazebo world and map for submission -autonomous navigation use map be four member so divide work accord to ease and knowledge team member understand the concept of publisher and subscriber and try to complete task team member understand urdf model design can refer the provide firebird model to understand copy this file and change accord to task requirement team member refer the tutorial give in task- and understand how to create gazebo world and map can create the world and use exist firebird model team member use the give firebird model for navigation until other team member will design the new model write the final script and test on firebird model for autonomous navigation all the good
battery issue	dear sir madam could please give more information regard the use of lipo battery how to power the microcontroller with the li po battery in buzzer programming thank
indentationerror expect an indent block	eyrc eb how to remove indemtation error
be the graph only for representation purpose	be the graph only for representation purpose or do really need to implement the solution in such way that the rqt_graph show such an output with the number and string pass between node
understanding system think and classical control system theory	in real world there be many complex system can be man make like airplane satellite rocket or natural like human body green house effect so to understand these try to make abstract model and break complex system into various system for example see human body as various system like circulatory system nervous system respiratory system and so on this abstract level of thinking be call system think main idea of system thinking be take from control system theory peter m. senge author of the fifth discipline try to explain difficulty in learn this new language of system thinking and same applie to control system also please read the follow page from peter m. senge 's the fifth discipline book system_thinking.pdf similarly classical control system theory consist of various new idea and tool these tool help to view the world in new light in abstract domain so to be familiar with the control system idea and tool please go through the lecture by brian dougla these be very interesting lecture on classical control system and what like about these lecture be make understand various term of control theory with various example and beautiful diagram yantra team
kit	when will explorer bot hardware kit be ship will be ship to college or should personally come and collect from iit
atom installation error	this may be late to ask but please provide with some solution unable to download require atom module 's show error state problem with internet connectivity or os compatibility ve try with different network and different computer but have receive same response everywhere task be over but need to install as to accomplish other task during the competition be there any way can install that module externally by if not suggest something else
regard robotic kit acknowledgement for balance bot theme only	dear participant once receive the robotic kit please visit the shipment tab in portal.follow theinstruction in this tab and ensure all component be present then submit the online acknowledgement good wish yantra team
shipment	for explorer bot shipment will arrive in college or have to personally collect
private	dear participant hope view unpacking video of the robotic kit.so once have ensure that have receive all the mention component please reply to this post as team_id receive and check list verify eg receive and check list verify thank and regard yantra team
regard task download	dear participant greeting from yantra please make sure when download task folder zip file be accord to the theme assign to if any team be get different folder try download from other team member 's login thank regard team yantra
error on line of the test code the load matrix give an error	the load matrix give an error because the function in mfprintf be not able to print the string from the loaded matrix the solution could n't be find on internet plus bit confused as the tutorial suggest to install atom module and then pass as parameter in the atomsgetloaded either have to define an atom and install then get datum from else ve to just comment out to run.please suggest what to do
task launch	dear participant greeting from yantra task have be launch please login to yantra portal to download the task folder thank regard team yantra
unable to locate package	when run the command sudo apt get install ros indigo desktop full show the follow message reading package list do building dependency tree read state information do ignoring file ros latestlist in directory /etc apt sources.list.d/ as have no filename extension ignoring file ros latestlist in directory /etc apt sources.list.d/ as have no filename extension unable to locate package ros indigo desktop full please help to solve the problem
partition not visible	be not able to view the partition that create in window while instal ubuntu use something else ubuntu view the entire gb hard drive space as free space while be look to manually build partition table this would format entire laptop what should do
regard robotic kit shipment balance bot theme only	dear participant greeting from yantra have ship robotic kit so please visit this link before unpack the kit will be notify about shipment tracking for kit soon once receive the shipment please record the video of unpacking and ensure all the mention component be present in robotic kit will ask for unpack video in case report to about any miss damage component good wish yantra team
partition	for instal ubuntu alongside window have partition shrink drive to give gb of space which be now name as new volume drive so while instal ubuntu and click on something else have plan to make the following partition root ubuntu gb swap ubuntu gb rest ext gb will this combination be fine
video submission task status- not submit	dear participant if be face the problem regard task- that problem have be resolve please login to portal and check task status if status change to submit mark question resolve on piazza if status remain not submittedtry to upload video again all the good
source command not find	first step be check setup.bash path to check type follow command ls /opt ros indigo setup.bash the above command will return the path of setup.bash if exist like /opt ros indigo setup.bash open.bashrcfile in gedit editor to check give path be correct gedit ~/.bashrc go to the end of file andcheck the path of file correct the follow line make sure this line should be exact same as give below source /opt ros indigo setup.bash and save the file than source the .bashrc file.this command will not return anything in terminal if everything go right this command will execute without any error source ~/.bashrc
error while run the bash command	after run the command source ~/.bashrc message source command not find be display
video submission query	have reuppoade the link on the portal still be show that task not submit team eyrc eb
task	eyrc bb on run the provide the scilab_test.sci file in the task folder text file name test_report be generate be this all task
problem in instal	when run this command echo source /opt ros indigo setup.bash ~/.bashrcsource ~/.bashrc give source command not find error
unable to install setup	unable to perform follow command sudo sh -c echo deb http //packages.ros.org ros ubuntu lsb_release -sc main /etc apt sources.list.d ros latest.list'it give follow output deb http //packages.ros.org ros ubuntu trusty main etc apt sources.list.d ros latest.list /etc apt sources.list.d ros latest.list deb not find
ubuntu	during ubuntu installation on window laptop if want to keep datum safe then have to partition drive so before select something else during the installation and manually form the partition table do need to partition drive or drive beforehand if so how do do that
no filename extension	 ignoring file ros latestlist in directory /etc apt sources.list.d/ as have no filename extension eyrc eb sir what can do to get rid of this
mark distribution	be mark give to task if yes on what basis be give eyrc eb
message in terminal window on start	eyrc eb- every time start terminal window the follow message occur everything else work fine the same message also appear when run the follow statement source ~/.bashrc
video submission	have submiite the video use screen recorder but on the portal be show that task not submit
password error after run the first command of ros installation	after run the first command of ros installation the text editor be not take the password completely and in between be display command sorry try again please help out as quickly as possible
error in instal gazebo	sir be unable to install gazebo software .we have instal ubuntu .could please provide step by step guide to install gazebo
provide atmel studio be not instal on window 	atmel studio be ask for the high version of the window be there any way to install on window or any other alternative for use in window
problem in exit gazebo	gazebo be open properly but when close take bit long time which make video length long in the command terminal show the follow error when close gazebo gzclient glib gio critical g_dbus_connection_get_unique_name assertion g_is_dbus_connection connection fail
about video submission	theme explorer botthe instruction say that any one member of the team should run the commandsdo have to show the face of the member or can record the screen only.do need to show face in any part of the video or can just record the screen with the slide detail in the beginning
about task file upload	sir for the task of balance bot do just need to upload the test_report.txt file or need go upload video as well
about edit video	video recording limit have reach maximum can edit little bit and upload
regard video recording	have confusion do need to show ourself in the video or just have to capture the screen team eyrc eb
can install ros to ubuntu	have ubuntu os version can isntall ros to ifye can sen the link
duration of video	sir be strict to have the video within sec as give in instruction or be okay to exceed this
bash file	for bashrc file instruction be show that no such file or directory
error while run command	error no namespace find
ca nt open -c	be show the error after run the first commandsudo sh echo deb http //packages.ros.org ros ubuntu lsb_release -sc main /etc opt sources.list.d ros latestlist
ros query	upgrade newly instal to remove and not upgrade be get this command after step what have to do after this and how to find ros software on laptop
use of screen recorder or any camera	sir can use any camera to record the software installation and then software test or else should install screen recorder into the system and then perform accordingly
kit delivery	eyrc eb sir when will get kit of explorer bot
semester exam vs task	sir currently have semester exam so may not be possible for to submit this task within the deadline will be disqualify or penalize if submit the task lately or not be unable to submit at all
ros installation	please send the link for download ro
how do get notify if the bot have be ship to college	will be receive any kind of mail or any form of notification if the bot be dispatch or not be pretty concerned about this because have semester and be not possible every time to ask if the bot have arrive or not
issue while instal roc indigo	echo source /opt ros indigo setup.bash ~/.bashrc source ~/.bashrc after enter these command for environment setup get the follow error source command not find
simulation software	sir can use python matplotlib and simpy instead of scilab for modelling and simulation as be familiar with python and not so familiar with scilab
do balance bot theme require python programming	just curious to know if the model simulation or other code for balance bot require python language eyrc bb
be familiar with control system analysis and design	from rocket launch to international space station rotate around earth 's orbit to mangalyaan send to orbit around mar -d printer extruder move and print prosthetic organ at home lab google driverless car navigate from one part of town to another avoid obstacle in traffic world be fill with automatic system design by human but how be these thing make what analysis have to be do for design such system after design such system how to test performance control system engineering be the branch which try to answer these question teach the language and art of design such complex system this art be collection of physics and math have be study from school but may not have utilize or forget so let check at which level be right now select level below this poll will be close by level have knowledge of physics mechanic and dynamic able to write force equilibrium equation draw free body diagram level have knowledge of differential equation laplace transform model system use linear differential equation or have study course on signal and system level have study course on control system have knowledge in model system in frequency and time domain obtain time and frequency response of system analyse stability of system root locus technique have dome system simulation in matlab scilab level have knowledge of controller design pid algorithm different type of control architecture like cascade feed forward control digital control system apply any control strategy like pid cascade control in embedded system no have no experience in control system analysis and design submityou have not yet voted.revote be not allow select vote and click submit to register vote.your name will be visible to instructor but not student
eyrc eb	eyrc eb sir ros be instal in laptop but when open gazebo from terminal new window be open but there be no check floor show which be present in test image provide by be just blank window of gazebo so be there any problem with gazebo or be okk except gazebo all thing be exactly the same
query regard ros installation	eyrc eb unclear on the installation process of ros whether need to download thesoftware for the same or just use the terminal command give in the read_me file please elaborate and guide
ubuntu installation	to explorer bot instructor have window only on laptop and need to install ubuntu in the tutorial pdf the url to the ubuntu image file be give but do n't know how exactly to install should create partition of hard drive to install ubuntu as parallel os to window or will instal linux virtual machine like virtual box or vmware be sufficient to install and run ros with fully functional gazebo and rviz
ubuntu version for task	in theme be mention to use ubuntu lt only can use ubuntu lt for the same eyrc eb
delivery of kit	till when will be the kit deliver theme be balance bot track eyrc
welcome to yrc	dear participant welcome toe yantra robotic competition- this be discussion forum participant can post there technical and non technical query on forum mentor will get back to soon will also encourage participantsto be active on forum and help each other please follow general ethic of discussion forum such as all be human so be humble do not use sms text there be noword limit so express self completely and do not use abbreviation for word which do not have one have patience and do not spam will try to respond at the early send follow up only if think too late thank regard team yantra
tip trick for successful class	".subregioncontent questiontitle 		 display block 	 	 .intro_post_button_wrapper 		 width 	 	 .intro_post_button 		 background 		 font weight 		 padding px 		 text shadow px px px 		 font size px 		 color white 		 -moz border radius px 		 -webkit border radius px 		 border radius px 		 text align center 		 cursor pointer 		 margin px auto 	 	 selectedpostpanel .intro_post_section 		 font weight normal 	 	 .intro_post_section 		 margin bottom px 	 	 .intro_post_section .intro_post_section_content 		 pad px 		 display block 	 	 	 .intro_post_section .intro_post_section_content 		 margin bottom px 	 	 pagecenter .mainpanel .subregion .subregioncontent .subregiontext ul preview_area .subregiontext ul 		 margin top px 		 margin bottom px 		 margin leave px 	 	 .intro_post_section .intro_post_section_content p.bottom_margin 		 margin bottom px 	 	 selectedpostpanel .intro_post_section .intro_post_section_content 		 font weight bold 		 color 	 	 .intro_post_section_content 		 margin top px 	 	 .intro_post_section_line 		 width px 		 height px 		 border bottom px solid ddd 		 margin px auto 	 	 .intro_post_left_column 		 width px 		 float leave 		 margin right px 	 	 .intro_post_right_column 		 width px 		 float leave 	 	 .intro_post_menu 		 background 		 border px solid edede 		 pad px 		 margin px px 	 	 .intro_post_menu ul 		 font size px 		 color 		 text align right 		 list style none 		 font weight bold 	 	 .intro_post_menu li 		 background none 		 margin px px 		 list style none 		 pad px px px px 		 border top px solid transparent 		 border bottom px solid transparent 		 cursor pointer 	 	 .intro_post_menu li.selecte 		 background white 		 border top px solid cfcfcf 		 border bottom px solid 		 box shadow px px px px 		 -moz box shadow px px px px 		 -webkit box shadow px px px px 		 color 	 	 preview_area li pagecenter .subregiontext li followupdiscussionscontent li 		 list style none 		 margin leave px 	 	 .intro_post_actions 		 margin top px 		 font size px 		 font weight bold 	 	 .intro_post_actions .button_left 		 float leave 		 color 		 cursor pointer 	 	 .intro_post_actions .button_right 		 float right 		 color 		 cursor pointer 	 	 .intro_post_main_content 		 margin top px 	 	 .intro_post_main_content 		 margin bottom px 	 	 .intro_post_main_content div 		 display none 	 	 .intro_post_main_content div.selecte 		 display block 	 	 .addedimage text align center margin top px .intro_post_menu li .arrow 	 background url /image dashboard tutorial arrow right gray.png 		 display none 		 width px 		 height px 		 float leave 		 margin top px 		 margin right px 	 .intro_post_menu li.selecte .arrow 		 display inline block 	 	 		 			 				 reduce inbox clutter 				 					 						 redirect student email to piazza 						 replace class distribution list 						 use private post to communicate with other instructor 					 				 				 set the tone for the class 				 					 						 post announcement the first week of class 						 endorse and encourage student response 						 encourage collaborative editing 						 go for visual post 					 				 				 keep the class on track 				 					 						 manage class folder 						 link to other question 						 mark question duplicate 						 edit or delete anything 					 				 			 			 				 					 prev 					 next 				 				 					 	 					 when student email instructor with individual question teaching staff may find answer the same question over and over when question be post on piazza only need to be answer once 							 when student post on piazza everyone benefit student like know that other have the same question and when 's answer on piazza 's answer for everybody 							 ask student to post question to piazza instead of email directly some instructor choose to respond to email question by redirect the student to piazza other like to copy question from email or office hour and post directly on the site so the answer can benefit the entire class and save some time 						 						 	 					 piazza make easy to post announcement to the entire class anytime by post announcement on piazza can see any response to the announcement all in one place rather than let fill inbox 							 to post an announcement click new post and select the note tab which let create post that do not require response to make the announcement to the entire class immediately regardless of email setting just check the box label send immediately to the entire class all member of the class will receive an email notification of the post right away 's great way to get important information out fast 							 						 						 	 					 piazza 's private post make easy to keep all instructor dialogue in one place when create new post check the box label make this private question when an instructor add private post only other class instructor can view look for the blue private label in the question feed on the left 							 student can also create private post when student create one only that student and the class 's instructor can view the post student create private post be useful for ask question when the student be unsure whether the material may be share with the entire class if the post contain information that the entire class would benefit from an instructor can always make the private post public use the menu that appear leave of the question 's title in the question feed 							 						 						 	 					 as soon as ve enrol class let student know be active on piazza by add couple announcement 							 the first few post be great opportunity to share basic information about the class like when office hour be and how can be contact many instructor also like to lay out the ground rule for post question and answer on piazza 							 add new post by click new post at the top of screen and filling in the detail select the note tab if be post an announcement and do n't require response 							 						 						 	 					 click good question or good answer to encourage student to ask question and respond to classmate question 	 					 						 						 	 					 piazza question and answer be like wikipedia anyone can contribute to collaboratively edit question and answer be far easy to read and comprehend than long thread of comment 							 the answer to each question be divide into student answer for all student to edit and an instructor answer for all instructor to edit when read good student answer click good answer to endorse itthis help encourage student to answer other question plus when student see the checkmark over the student answer icon in the question feed know that that endorse student answer be just as good as any instructor answer 							 another good way to encourage student to edit the student answer be to refine what other student have write anyone can view the contribution individual make to the response by use the question history slider that appear above the question after several edit 							 						 						 	 					 know from experience that visual post can communicate concept very effectively embed image attach file and format math and code to make post clean and easily understandable 	 					 easily include block of pre format code by select the pre button in the question editor and include inline code snippet by select the tt button for teletype text for mathematical equation click the fx icon to access latex editor 							 see formatting page for more detail on how to format post 							 						 						 	 					 folder make easy to filter question by particular assignment or topic class start out and stay more organized when instructor create folder for class before start 							 specify class 's folder in manage class page click the manage class link at the top of screen 							 						 						 	 					 create hyperlink to another post by type the symbol follow by that post 's number e.g. find post 's number by look in the url or by hover over the arrow to the left of the question 's title in the question feed 							 						 						 	 					 if notice that question have be ask before mark as duplicate question to avoid confusion select the mark as duplicate option in the duplicate question 's more menu and follow the direction to limit the number of duplicate question that arise as soon as there be significant number of post in class will do part to keep thing organize by require student to search exist post before add own 	 					 						 						 	 					 as an instructor have full edit capability over all class content can also delete post via the more menu or question feed drop down menu student do not have the ability to delete post"
